### 现代汉语词典 ###

# A
哀号 哀嚎
艾窝窝 爱窝窝
爱搭不理 爱答不理

# B
按捺 按纳
按语 案语
巴儿狗 叭儿狗
跋前疐后 跋前踬后
把式 把势
疤瘌 疤拉
疤瘌眼儿 疤拉眼儿
白茬儿 白槎儿,白碴儿
百叶窗 百页窗
般配 班配
斑白 班白,颁白
斑驳 班驳
斑斓 斒斓
板型 版型
版筑 板筑
苞谷 包谷
苞米 包米
孢子 胞子
保镖 保镳
保姆 保母,褓姆
曝光 暴光
卑辞 卑词
贝斯 贝司
备不住 背不住
背搭子 被褡子
悖晦 背晦
悖理 背理
悖谬 背谬
背时 悖时
比画 比划
笔画 笔划
笔芯 笔心
毕恭毕敬 必恭必敬
筚路蓝缕 荜路蓝缕
觱篥 觱栗,篥,筚篥
愊忆 腷臆
编者按 编者案
扁豆 萹豆,稨豆,藊豆
辩白 辨白
辨正 辩正
辩证 辨证
辨证 辨症
辩词 辩辞
标志 标识
标榜 摽榜
鬓角 鬓脚
秉承 禀承
拨浪鼓 波浪鼓
波罗蜜 菠萝蜜
勃谿 勃豀
脖颈儿 脖梗儿
擘画 擘划
峬峭 庯峭,逋峭
补丁 补钉,补靪
补缺 补阙

# C
菜籽 菜子
菜籽油 菜子油
参与 参预
惨淡 惨澹
仓促 仓猝
仓皇 仓黄,仓惶,苍黄
鸧鹒 仓庚
草帽辫 草帽缏
册页 册叶
厕足 侧足
厕身 侧身
差池 差迟
碴儿 茬儿
岔流 汊流
侘傺 㤞憏
差使 差事
掺兑 搀兑
掺和 搀和
掺假 搀假
掺杂 搀杂
铲除 刬除
常川 长川
常性 长性
徜徉 倘佯
惝恍 惝怳
唱功 唱工
抄袭 剿袭
潮乎乎 潮呼呼
车把式 车把势
彻底 澈底
撤销 撤消
趻踔 踸踔
称心 趁心
撑竿跳高 撑杆跳高
成分 成份
成荫 成阴
呈正 呈政
承上启下 承上起下
承想 成想
惩一儆百 惩一警百
澄澈 澄彻
吃挂落 吃挂络
吃里爬外 吃里扒外
踟蹰 踟躇
侈靡 侈糜
瘛疭 瘈疭
重茧 重趼
重午 重五
冲子 铳子
盹儿 冲盹儿
筹划 筹画
筹码 筹马
