### 用户词典 ###

# 不规范单位
mL ml
km/h 公里/小时
km/h 千米/小时
m/s 米/秒
/s /秒
/min /分钟,/分
/h /小时
/d /天,/日

# 赘词
见于 见诸于
来自 来自于
波及 波及到
涉及 涉及到
国际 国际间
人际 人际间
其中 这其中
其间 这其间
此中 此个中
并非 并非是
绝非 绝非是
岂非 岂非是
实属 实属是
令郎 您令郎
唯其 唯其因为,惟其因为
切忌 切忌不要
防止 防止不要
根除 基本根除
复发 再次复发
令爱 您的令爱
愚见 我的愚见
平添 无故平添
厮打 互相厮打
自我批评 互相自我批评
应邀 被应邀
目睹 亲眼目睹
启用 开始启用
公认 一致公认
苟同 随便苟同
奇缺 非常奇缺
溺爱 非常溺爱
苛求 太过苛求
溺爱 过分溺爱
悬殊 悬殊很大,差距悬殊
凯旋 凯旋而归
报刊 报刊杂志
邂逅 邂逅相遇
挨打 遭到挨打
堪称 可以堪称
堪忧 令人堪忧
毛病 坏毛病
质疑 提出质疑
走私 非法走私
奢望 过高的奢望
夙愿 多年的夙愿
废话 多余的废话
沉思 深深的沉思
方兴未艾 正方兴未艾
目的是 目的是为了
孑然一身 独自孑然一身
遍体鳞伤 全身遍体鳞伤
生灵涂炭 人民生灵涂炭
贻笑大方 被人贻笑大方
莘莘学子 无数莘莘学子
穷凶极恶 特别穷凶极恶
望穿秋水 眼睛望穿秋水
座无虚席 座位座无虚席
分道扬镳 各自分道扬镳
耿耿于怀 一直耿耿于怀
可歌可泣 值得可歌可泣
利令智昏 让人利令智昏
恍然大悟 忽然恍然大悟
如芒在背 好像如芒在背
立竿见影 迅速立竿见影
相形见绌 显得相形见绌
形形色色 各种形形色色
弥足珍贵 更加弥足珍贵
出乎意料 出乎意料之外
处女作 第一部处女作
潜台词 无声的潜台词
废物 没用的废物
三令五申 三令五申地强调
蓄意破坏 人为地蓄意破坏
不熟悉的情况 不熟悉的新情况
破天荒的一次 破天荒的第一次
溢美之词 过分的溢美之词
当务之急 目前的当务之急
刻骨铭心 刻骨铭心地难忘
芸芸众生 普通的芸芸众生
真知灼见 真知灼见的见解
难言之隐 难言之隐的苦衷
传统美德 优秀的传统美德
莅临指导 来我校莅临指导
充耳不闻 好像没听到似的充耳不闻
义务劳动 无报酬的义务劳动
忍俊不禁 忍俊不禁地笑起来
感激涕零 感激涕零地流下眼泪
截止日期 截止日期的最后一天
疾病 不必要的疾病
麻烦 不必要的麻烦
误会 不必要的误会
以考核为主 大多以考核为主,主要以考核为主
他之所以这么做 他之所以这么做的原因
载重达到极限 载重达到最极限
时速...以上 时速达...以上
大约... 大约...上下
至少... 至少...左右
近... 近...左右
一般...以上 平均...以上
最大... 最大...以下
最少... 最少...~\d+%

# 易错词
含义 涵义
当家做主 当家作主
翔实 详实
指手画脚 指手划脚
最大限度 最大程度
总分最高者 总分最多者
技术的简捷 技术的简洁
暗度陈仓 暗渡陈仓
瘀滞 淤滞
活性炭 活性碳
偶尔 偶而
签订 签定
迫不及待 迫不急待
关怀备至 关怀倍至
水蒸气 水蒸汽
汞蒸气 汞蒸汽
踮脚运动 垫脚运动
省省长 省长
市市长 市长
市委书记 市市委书记
省委书记 省省委书记

# 易错医学名词
艾滋病 爱滋病
摄像机 摄象机
黏膜 粘膜
纵隔 纵膈
疱疹 泡疹
止泻 止泄
过敏性紫癜 过敏性紫癫
松弛 松驰
黄疸 黄胆
囟门 囱门
急躁 急燥
脉搏 脉博
荧光 萤光
弥漫 迷漫
适应证 适应症
禁忌证 禁忌症
体征 体症
综合征 综合症
依从性 依丛性
龋齿 瑀齿
循证医学 询证医学
饱和度 饱合度
漱口 澍口
癫痫 颠痫
抽搐 抽畜
账单 帐单
成形术 成型术
上颚 上鄂
三凹征 三凹症
隆突 隆凸
颤动 纤颤
强的松 强地松
畸形 畸型
括约肌 扩约肌
针灸 针炙
脑神经 颅神经
反流 返流
喉返神经 喉返神经
横膈 横隔
甲氨蝶呤 甲氨喋呤
肌内注射 肌肉注射
大脑皮质 大脑皮层
比容 压积
多器官功能障碍综合征 多脏器功能障碍综合征

# 不规范医学名词
维生素 维他命
不良反应 副作用
声呐 声纳
噪声 噪音
哮病 哮证
癫病 癫证
咯血 咳血
炮制 炮炙
三七 田七
大枣 红枣
金银花 双花
钩藤 双勾
莱菔子 萝卜籽
反转录 逆转录
菟丝子 吐丝子
蝉蜕 蝉衣
蜈蚣 天龙
白细胞 白血球
血红蛋白 血红素
甲状旁腺素 副甲状腺素
纵隔 纵膈
霍奇金病 何杰金氏病,何杰金病
梅尼埃综合征 美尼尔综合征
吉兰-巴雷综合征 格林-巴利综合征,格林-巴利瑞综合征
心肌梗死 心肌梗塞
急性重型肝炎 爆发性肝炎,急性肝坏死
卫氏并殖吸虫病 肺吸虫病
癫痫 癫癎
硅沉着病 矽肺
红细胞比容 红细胞压积
剖宫产 剖腹产
心力衰竭 心衰
咳痰 咯痰
肝硬化 肝硬变
脑梗死 脑梗塞
脑出血 脑溢血
瘙痒 骚痒
发热 发烧
血管网状细胞瘤 血管母细胞瘤
细胞质 细胞浆
对比染色 复柒
侧支循环 侧枝循环
机制 机理
林格溶液 任氏液
神经元 神经原
不良反应 副反应
慢性阻塞性肺疾病 慢性阻塞性肺疾患,慢性阻塞型肺疾病
心搏骤停 心脏骤停,心跳骤停
扁桃体肥大 扁桃体肿大
防治并发症 防止并发症
慢性血栓栓塞性肺动脉高压 慢性血栓栓塞型肺动脉高压
国际标准化比值 国际标准化比率
缓慢型心律失常 缓慢性心律失常
快速型心律失常 快速性心律失常
心脏压塞 心包填塞
心脏指数 心排指数
房室交界区 房室交接区
不稳定型心绞痛 不稳定性心绞痛
稳定型心绞痛 稳定性心绞痛
扩张型心肌病 扩张性心肌病
血液灌注 血液灌流
革兰氏阴性 革兰阴性
革兰氏阳性 革兰阳性
神经源性休克 神经原性休克
压力性损伤 压疮,褥疮
心排血量 心排量,心排出量
血型相容性试验 血性相容性试验
高压蒸汽灭菌 高压蒸气灭菌
高压蒸汽消毒 高压蒸气消毒
腹腔间室综合征 腹腔间隔室综合征,腹腔间隔综合征
血管升压素 血管加压素
急性重型肝炎 急性重症肝炎
胆管铸型综合征 胆道铸形综合征
毛细血管瘤 毛细血道瘤
静脉瘀滞性视网膜病变 静脉瘀滞型视网膜病变
闭角型青光眼 闭角性青光眼
高血压性视网膜病变 高血压型视网膜病变
包涵体肌炎 包含体肌炎
医生 医师
强直性肌营养不良 肌强直性营养不良
线粒体病 线粒体疾病
黑矇 黑朦,黑曚
泼尼松龙 波尼松龙
抗逆转录病毒药物 抗反转录病毒药物
郎氏结 郎飞氏结
黏多糖 粘多糖
Horner综合征 Horner征
霍纳综合征 霍纳征
血浆渗透压 血清渗透压
ST段抬高心肌梗死 ST段抬高型心肌梗死
签订 签定
瘢痕 疤痕
水疱 水泡
多磺酸粘多糖乳膏 多磺酸黏多糖乳膏
交叉配血 交叉合血
承想 曾想,成想
焯水 焯汤
瘾疹 隐疹
果腹 裹腹
